GPT Name,Description,Link,Setting,# Chats,Category,Use Case,Industry,Business / Consumer?,Featured (Y/N),System Instructions Link,GPT Documentation Link,Notes
Music Contract Assistant,"Powered by Artispreneur.com. Enter a prompt for a music contract, upload your own for review, or submit your information to fill in a template.",https://chatgpt.com/g/g-8a5gA1RQf-music-contract-assistant,GPT Store,10,,Media & Content Creation,DALL·E,,,,,
Textvi,Upload text and create video,https://chatgpt.com/g/g-FULmAXEmh-textvi,GPT Store,0,,Software Development,Programming,,,,,
API Integration Architect Pro,"Expert in API schema creation, validation, and seamless AI integrations.",https://chatgpt.com/g/g-9KZmYIrNN-api-integration-architect-pro,GPT Store,30,,Finance & Tax,Productivity,,,,,
IRS Form 7202 Assistant,Helps users complete IRS Form 7202 for their amended 2021 tax return.,https://chatgpt.com/g/g-olXCxP7PS-irs-form-7202-assistant,GPT Store,0,,Marketing,Productivity,,,,,
Affli,Affiliate marketer,https://chatgpt.com/g/g-4qGk3hqx9-affli,GPT Store,0,,Finance,Research & Analysis,,Y,,,
Munger Inspired Investing Pro,Value-driven investment advice inspired by Charlie Munger.,https://chatgpt.com/g/g-i2gWWJYGx-munger-inspired-investing-pro,GPT Store,0,,Software Development,Programming,,,,,
Assistant API builder,Guide for building GPT assistants with API deployment.,https://chatgpt.com/g/g-owjjipHOu-assistant-api-builder,GPT Store,0,,Software Development,Programming,,,,,
ScriptCraft,Expert in crafting GPT assistant scripts.,https://chatgpt.com/g/g-b9JD3yH1R-script-savvy,GPT Store,4,,Software Development,Programming,,,,,
GPTeach,Expert guide for building AI solutions with OpenAI tools.,https://chatgpt.com/g/g-83vBEpFE0-gpteach,GPT Store,10,,Software Development,Programming,,,,,
Script Savvy,"Expert in assistant script creation, using resources like Pluralsight for guidance.",https://chatgpt.com/g/g-b9JD3yH1R-script-savvy,GPT Store,10,,Legal & Housing,Lifestyle,,,,,
Tenny: Chicago,"A tenants rights expert for Chicago residences, aiding in housing issues.",https://chatgpt.com/g/g-cpsDOlA46-tenny-chicago,GPT Store,10,,Music & Entertainment,Lifestyle,,,,,
Tour Tracker,Discover live music tours and book venues with ease.,https://chatgpt.com/g/g-jcabF4Xg7-tour-tracker,GPT Store,7,,Marketing & Communications,Writing,,,,,
Email Template Creator,Creates custom email templates as requested,https://chatgpt.com/g/g-78vwnqQUg-email-template-creator,GPT Store,10,,Music Industry,Productivity,,,,,
VenYou,Finds and organizes music venue contact info,https://chatgpt.com/g/g-4w9IlssZI-venyou,GPT Store,10,,Software Development,Programming,,Y,,,
.JSONL Converter,Converts uploaded documents to .jsonl,https://chatgpt.com/g/g-SxGo41QrX-jsonl-converter,GPT Store,20,,Software Development,Programming,,,,,
Funky,Generates validated JSON schemas and deployment-ready API templates for Assistants and GPTs,https://chatgpt.com/g/g-MW14VqXOV-funky,GPT Store,20,,Healthcare,Research & Analysis,,,,,
Healthie,"Expert in medical and financial health analysis, offering clear, friendly guidance.",https://chatgpt.com/g/g-Y8KwPCf8c-healthie,Only Me,0,,Productivity Tools,Productivity,,,,,
Link Folder,Adds links from the web to a running database/spreadsheet,https://chatgpt.com/g/g-GFbjf2cuy-link-folder,GPT Store,20,,Music Marketing,Productivity,,,,,
EPK Creator,"Creates sleek, professional EPKs with AI-driven design and music-focused branding tools.",https://chatgpt.com/g/g-k7PXF5EgX-epk-creator,GPT Store,200,,Business Services,Productivity,,,,,
Onboarding Expert,Guides new clients through structured onboarding from Sales Enablement Plans,https://chatgpt.com/g/g-lnO9bvhKy-onboarding-expert,GPT Store,0,,Music Industry,Productivity,,,,,
Catana,"I manage and enhance music catalogues, providing organization and insights.",https://chatgpt.com/g/g-Lkh3vV3d9-catana,GPT Store,10,,E-Commerce,Writing,,,,,
E-Word,Product description writer for WordPress and WooCommerce.,https://chatgpt.com/g/g-oU89IAfnv-e-word,GPT Store,40,,Legal,Productivity,,,,,
Agreement Architect,Crafts custom general partnership agreements in Word doc format.,https://chatgpt.com/g/g-U53E2wyFn-agreement-architect,GPT Store,80,,Software Development,Programming,,,,,
Base64 English Translator,A Base64 to English translator for user queries.,https://chatgpt.com/g/g-Jr2a5cZIE-base64-english-translator,GPT Store,30,,Government & Culture,Productivity,,,,,
DCASE: 312,"Prompt-guided resource assistant. Find upcoming events, grant deadlines, city-wide programs and more at the Chicago Department of Cultural Affairs and Special Events (DCASE).",https://chatgpt.com/g/g-TVyXW0uBv-dcase-312,GPT Store,10,,Sports,Research & Analysis,,,,,
Hoops Stats and Insights,"NBA stats, trends, betting analysis, and actionable insights for informed decisions.",https://chatgpt.com/g/g-eyln5zVfm-hoops-stats-and-insights,GPT Store,40,,Music Industry,Productivity,,,,,
Catana,"Powered by Artispreneur.com. I organize and enhance your music catalogue, managing files from various sources, including Google Drive.",https://chatgpt.com/g/g-T2fZtsje0-catana,GPT Store,20,,Software Development,Productivity,,,,,
GPT License Generator,Generates tailored software licenses for GPT solutions.,https://chatgpt.com/g/g-W5q52ZGMb-gpt-license-generator,GPT Store,10,,Public Service,Lifestyle,,,,,
Chicago 211 Resource Assistant,Quickly find location-specific services in Chicago.,https://chatgpt.com/g/g-g0DGXiljy-chicago-211-resource-assistant,GPT Store,10,,Sales & Marketing,Productivity,,,,,
Enably,"Your advanced and insightful sales enablement agent, optimizing strategies and empowering sales teams.",https://chatgpt.com/g/g-RoFhc4Ti4-enably,GPT Store,200,,,,,,,,
